1,335
2,180
3,179
4,344
5,270
6,50
7,178
8,339
9,177
10,329
11,263
12,30
13,340
14,346
15,343
16,262
17,118
18,211
19,200
20,204
21,353
22,221
23,292
24,333
25,341
26,347
27,294
28,266
29,199
30,37
31,201
32,203
33,218
34,212
35,65
36,188
37,348
38,297
39,306
40,
41,
42,298
43,268
44,267
45,174
46,350
47,356
48,302
49,342
50,288
51,265
52,293
53,255
54,49
55,257
56,260
57,287
58,296
59,354
60,299
61,214
62,213
63,109
64,110
65,283
66,96
67,355
68,32
69,269
70,307
71,286
72,193
73,308
74,184
75,309
76,295
77,330
78,314
79,313
80,301
81,44
82,219
83,55
84,300
85,217
86,225
87,59
88,69
89,326
90,315
91,316
92,258
93,334
94,368
95,357
96,360
97,367
98,366
99,365
100,364
101,363
102,362
103,205
104,361
105,359
106,256
107,358
